,sentence,word,sense,context,sym_context,sem_context,sns_context
0, p00/d2862,Tom,male.n.02,"['Tom', 'was', 'carrying', 'a']","['tom', 'be', 'carry', 'a']","['PER', 'PST', 'EXG', 'DIS']","['male.n.02', 'O', 'carry.v.01', 'O']"
1, p00/d2862,carrying,carry.v.01,"['Tom', 'was', 'carrying', 'a', 'bucket', 'of']","['tom', 'be', 'carry', 'a', 'bucket', 'of']","['PER', 'PST', 'EXG', 'DIS', 'CON', 'REL']","['male.n.02', 'O', 'carry.v.01', 'O', 'bucket.n.01', 'O']"
2, p00/d2862,bucket,bucket.n.01,"['was', 'carrying', 'a', 'bucket', 'of', 'water', '.']","['be', 'carry', 'a', 'bucket', 'of', 'water', '.']","['PST', 'EXG', 'DIS', 'CON', 'REL', 'CON', 'NIL']","['O', 'carry.v.01', 'O', 'bucket.n.01', 'O', 'water.n.06', 'O']"
3, p00/d2862,water,water.n.06,"['a', 'bucket', 'of', 'water', '.']","['a', 'bucket', 'of', 'water', '.']","['DIS', 'CON', 'REL', 'CON', 'NIL']","['O', 'bucket.n.01', 'O', 'water.n.06', 'O']"
4, p30/d2583,touched,touch.v.01,"['I', 'have', ""n't"", 'touched', 'anything', '.']","['speaker', 'have', 'not', 'touch', 'entity', '.']","['PRO', 'NOW', 'NOT', 'EXT', 'DIS', 'NIL']","['O', 'O', 'O', 'touch.v.01', 'entity.n.01', 'O']"
5, p30/d2583,anything,entity.n.01,"['have', ""n't"", 'touched', 'anything', '.']","['have', 'not', 'touch', 'entity', '.']","['NOW', 'NOT', 'EXT', 'DIS', 'NIL']","['O', 'O', 'touch.v.01', 'entity.n.01', 'O']"
6, p30/d0794,Mr,mr.n.01,"['Mr', 'Smith', 'teaches', 'me']","['mr', 'smith', 'teach', 'speaker']","['ROL', 'PER', 'ENS', 'PRO']","['mr.n.01', 'male.n.02', 'teach.v.01', 'O']"
7, p30/d0794,Smith,male.n.02,"['Mr', 'Smith', 'teaches', 'me', 'English']","['mr', 'smith', 'teach', 'speaker', 'english']","['ROL', 'PER', 'ENS', 'PRO', 'CON']","['mr.n.01', 'male.n.02', 'teach.v.01', 'O', 'english.n.01']"
8, p30/d0794,teaches,teach.v.01,"['Mr', 'Smith', 'teaches', 'me', 'English', '.']","['mr', 'smith', 'teach', 'speaker', 'english', '.']","['ROL', 'PER', 'ENS', 'PRO', 'CON', 'NIL']","['mr.n.01', 'male.n.02', 'teach.v.01', 'O', 'english.n.01', 'O']"
9, p30/d0794,English,english.n.01,"['Smith', 'teaches', 'me', 'English', '.']","['smith', 'teach', 'speaker', 'english', '.']","['PER', 'ENS', 'PRO', 'CON', 'NIL']","['male.n.02', 'teach.v.01', 'O', 'english.n.01', 'O']"
10, p00/d3349,You,person.n.01,"['You', 'can', 'buy', 'stamps']","['person', 'can', 'buy', 'stamp']","['AND', 'POS', 'EXS', 'CON']","['person.n.01', 'O', 'buy.v.01', 'stamp.n.04']"
11, p00/d3349,buy,buy.v.01,"['You', 'can', 'buy', 'stamps', 'at', 'any']","['person', 'can', 'buy', 'stamp', 'at', 'any']","['AND', 'POS', 'EXS', 'CON', 'REL', 'AND']","['person.n.01', 'O', 'buy.v.01', 'stamp.n.04', 'O', 'O']"
12, p00/d3349,stamps,stamp.n.04,"['You', 'can', 'buy', 'stamps', 'at', 'any', 'post~office']","['person', 'can', 'buy', 'stamp', 'at', 'any', 'post~office']","['AND', 'POS', 'EXS', 'CON', 'REL', 'AND', 'CON']","['person.n.01', 'O', 'buy.v.01', 'stamp.n.04', 'O', 'O', 'post_office.n.01']"
13, p00/d3349,post~office,post_office.n.01,"['stamps', 'at', 'any', 'post~office', '.']","['stamp', 'at', 'any', 'post~office', '.']","['CON', 'REL', 'AND', 'CON', 'NIL']","['stamp.n.04', 'O', 'O', 'post_office.n.01', 'O']"
14, p00/d1522,door,door.n.01,"['The', 'door', 'is', 'opening', 'now']","['the', 'door', 'be', 'open', 'now']","['DEF', 'CON', 'NOW', 'EXG', 'NOW']","['O', 'door.n.01', 'O', 'open.v.01', 'O']"
15, p00/d1522,opening,open.v.01,"['The', 'door', 'is', 'opening', 'now', '.']","['the', 'door', 'be', 'open', 'now', '.']","['DEF', 'CON', 'NOW', 'EXG', 'NOW', 'NIL']","['O', 'door.n.01', 'O', 'open.v.01', 'O', 'O']"
16, p20/d2314,Where,location.n.01,"['Where', 'did', 'you', 'put']","['location', 'do', 'hearer', 'put']","['QUE', 'PST', 'PRO', 'EPS']","['location.n.01', 'O', 'O', 'put.v.01']"
17, p20/d2314,put,put.v.01,"['Where', 'did', 'you', 'put', 'my', 'umbrella', '?']","['location', 'do', 'hearer', 'put', 'speaker', 'umbrella', '?']","['QUE', 'PST', 'PRO', 'EPS', 'HAS', 'CON', 'QUE']","['location.n.01', 'O', 'O', 'put.v.01', 'O', 'umbrella.n.01', 'O']"
18, p20/d2314,umbrella,umbrella.n.01,"['you', 'put', 'my', 'umbrella', '?']","['hearer', 'put', 'speaker', 'umbrella', '?']","['PRO', 'EPS', 'HAS', 'CON', 'QUE']","['O', 'put.v.01', 'O', 'umbrella.n.01', 'O']"
19, p10/d2133,He,male.n.02,"['He', 'loves', 'animals', '.']","['male', 'love', 'animal', '.']","['PRO', 'ENS', 'CON', 'NIL']","['male.n.02', 'love.v.01', 'animal.n.01', 'O']"
20, p10/d2133,loves,love.v.01,"['He', 'loves', 'animals', '.']","['male', 'love', 'animal', '.']","['PRO', 'ENS', 'CON', 'NIL']","['male.n.02', 'love.v.01', 'animal.n.01', 'O']"
21, p10/d2133,animals,animal.n.01,"['He', 'loves', 'animals', '.']","['male', 'love', 'animal', '.']","['PRO', 'ENS', 'CON', 'NIL']","['male.n.02', 'love.v.01', 'animal.n.01', 'O']"
