,sentence,word,sense,context,sym_context,sem_context,sns_context
0, p00/d2862,Tom,male.n.02,"['Tom', 'was', 'carrying']","['tom', 'be', 'carry']","['PER', 'PST', 'EXG']","['male.n.02', 'O', 'carry.v.01']"
1, p00/d2862,carrying,carry.v.01,"['Tom', 'was', 'carrying', 'a', 'bucket']","['tom', 'be', 'carry', 'a', 'bucket']","['PER', 'PST', 'EXG', 'DIS', 'CON']","['male.n.02', 'O', 'carry.v.01', 'O', 'bucket.n.01']"
2, p00/d2862,bucket,bucket.n.01,"['carrying', 'a', 'bucket', 'of', 'water']","['carry', 'a', 'bucket', 'of', 'water']","['EXG', 'DIS', 'CON', 'REL', 'CON']","['carry.v.01', 'O', 'bucket.n.01', 'O', 'water.n.06']"
3, p00/d2862,water,water.n.06,"['bucket', 'of', 'water', '.']","['bucket', 'of', 'water', '.']","['CON', 'REL', 'CON', 'NIL']","['bucket.n.01', 'O', 'water.n.06', 'O']"
4, p30/d2583,touched,touch.v.01,"['have', ""n't"", 'touched', 'anything', '.']","['have', 'not', 'touch', 'entity', '.']","['NOW', 'NOT', 'EXT', 'DIS', 'NIL']","['O', 'O', 'touch.v.01', 'entity.n.01', 'O']"
5, p30/d2583,anything,entity.n.01,"[""n't"", 'touched', 'anything', '.']","['not', 'touch', 'entity', '.']","['NOT', 'EXT', 'DIS', 'NIL']","['O', 'touch.v.01', 'entity.n.01', 'O']"
6, p30/d0794,Mr,mr.n.01,"['Mr', 'Smith', 'teaches']","['mr', 'smith', 'teach']","['ROL', 'PER', 'ENS']","['mr.n.01', 'male.n.02', 'teach.v.01']"
7, p30/d0794,Smith,male.n.02,"['Mr', 'Smith', 'teaches', 'me']","['mr', 'smith', 'teach', 'speaker']","['ROL', 'PER', 'ENS', 'PRO']","['mr.n.01', 'male.n.02', 'teach.v.01', 'O']"
8, p30/d0794,teaches,teach.v.01,"['Mr', 'Smith', 'teaches', 'me', 'English']","['mr', 'smith', 'teach', 'speaker', 'english']","['ROL', 'PER', 'ENS', 'PRO', 'CON']","['mr.n.01', 'male.n.02', 'teach.v.01', 'O', 'english.n.01']"
9, p30/d0794,English,english.n.01,"['teaches', 'me', 'English', '.']","['teach', 'speaker', 'english', '.']","['ENS', 'PRO', 'CON', 'NIL']","['teach.v.01', 'O', 'english.n.01', 'O']"
10, p00/d3349,You,person.n.01,"['You', 'can', 'buy']","['person', 'can', 'buy']","['AND', 'POS', 'EXS']","['person.n.01', 'O', 'buy.v.01']"
11, p00/d3349,buy,buy.v.01,"['You', 'can', 'buy', 'stamps', 'at']","['person', 'can', 'buy', 'stamp', 'at']","['AND', 'POS', 'EXS', 'CON', 'REL']","['person.n.01', 'O', 'buy.v.01', 'stamp.n.04', 'O']"
12, p00/d3349,stamps,stamp.n.04,"['can', 'buy', 'stamps', 'at', 'any']","['can', 'buy', 'stamp', 'at', 'any']","['POS', 'EXS', 'CON', 'REL', 'AND']","['O', 'buy.v.01', 'stamp.n.04', 'O', 'O']"
13, p00/d3349,post~office,post_office.n.01,"['at', 'any', 'post~office', '.']","['at', 'any', 'post~office', '.']","['REL', 'AND', 'CON', 'NIL']","['O', 'O', 'post_office.n.01', 'O']"
14, p00/d1522,door,door.n.01,"['The', 'door', 'is', 'opening']","['the', 'door', 'be', 'open']","['DEF', 'CON', 'NOW', 'EXG']","['O', 'door.n.01', 'O', 'open.v.01']"
15, p00/d1522,opening,open.v.01,"['door', 'is', 'opening', 'now', '.']","['door', 'be', 'open', 'now', '.']","['CON', 'NOW', 'EXG', 'NOW', 'NIL']","['door.n.01', 'O', 'open.v.01', 'O', 'O']"
16, p20/d2314,Where,location.n.01,"['Where', 'did', 'you']","['location', 'do', 'hearer']","['QUE', 'PST', 'PRO']","['location.n.01', 'O', 'O']"
17, p20/d2314,put,put.v.01,"['did', 'you', 'put', 'my', 'umbrella']","['do', 'hearer', 'put', 'speaker', 'umbrella']","['PST', 'PRO', 'EPS', 'HAS', 'CON']","['O', 'O', 'put.v.01', 'O', 'umbrella.n.01']"
18, p20/d2314,umbrella,umbrella.n.01,"['put', 'my', 'umbrella', '?']","['put', 'speaker', 'umbrella', '?']","['EPS', 'HAS', 'CON', 'QUE']","['put.v.01', 'O', 'umbrella.n.01', 'O']"
